index,premise,hypothesis,label
0,씨름은 예로부터 전해 내려오는 남자들의 대표적인 놀이로 넓고 평평한 백사장이나 마당에 소년들과 장군들이 모여 힘과 지혜를 겨룬다.,씨름에 나오는 여자들의 놀이입니다.,contradiction
1,삼성은 자작극을 벌인 2명에 대해 형사고발 등 법적 대응을 검토하고 있다고 밝혔지만 자작극이라는 충분한 증거에도 불구하고 중국 내 여론이 좋지 않다.,그들 자신의 연극을 만든 세 사람이 있었다.,contradiction
2,이를 위해 예측형 범죄예방시스템이 구축되고 고도화된다.,예측형 범죄예방 시스템 구축과 고도화가 목적이기 때문이다.,entailment
3,광주광역시가 재개발 정비사업 원주민 종합대책을 마련하는 등 원주민 보호에 적극 나섰다.,그 원주민들은 포괄적인 조치에 만족했습니다.,neutral
4,소비자와 직원들의 사랑을 받는 기업으로 정말 오래 지속하고 싶다면 이런 상황에서 책임감을 보여줄 필요가 있다.,이런 상황에서 책임감을 드러내는 기업은 극소수다.,neutral
5,코오롱인더스트리는 이번 증설로 생산능력이 7만7000t에서 총 9만3800t으로 1만6800t 늘었다.,코오롱인더스트리는 총 9만3800t 규모의 생산능력을 확보했다.,entailment
6,모두가 자신뿐만 아니라 청소년의 꿈과 남을 돕고자 하는 열정에 관심을 기울이고 있다.,모든 젊은이들은 꿈과 열정이 있습니다.,neutral
7,시대적 상황을 고려하는 현명한 관람 자세가 요구된다.,보는 태도에 특별한 관심이 있는 것은 아니다.,contradiction
8,사진과 차이가 없는 아기자기한 실내 소품과 분위기가 멋졌다.,귀여운 실내 소품들이 사진에서 본 것과 달랐습니다.,contradiction
9,"빠른 답변과 간단한 체크인, 그리고 깔끔한 집이 좋았다.",체크인은 복잡했다.,contradiction
10,대부분이 걸을 수 있을 정도로 넉넉한 것이 매력이었다.,대부분은 걸을 수 있습니다.,entailment
11,오후에는 소흘읍 주민들의 멋진 끼를 볼 수 있는 호수둘레길 버스킹 공연이 이어진다.,호수둘레길 버스킹 공연에는 많은 군민이 참석했다.,neutral
